[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981313829.74877,02/27/2026,12:32 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3981313963.1115,300.077621459961,9999.7490234375,0.000285854570965697,1.12118307758249E-6,1,0.999253354069792,40.0298881530762,1.99728594487608,15.0800002738833,0.00153366088695443,0.000285750476456402,0.25,-2.58539515705431E-7,0.000285801538033563,8.55080986913895E-7,300.076232910156,300.076232910156,9999.712890625,9999.78515625,47.8458265476781,18.9686273916302,21.2358951568604,0,0,0,40,300.604400634766,1,4,1,2.09579467773438,45.4545478820801,,,,,,,,,,,,,,,,
,3981313966.862,300.082946777344,9999.8203125,0.000287859174645729,1.59135841192177E-6,1,0.999253354069792,40.0298881530762,1.99730288506004,15.0800002738833,0.00154537380423383,0.000282707765992239,0.25,-1.20153043890649E-6,0.00028780938045669,-7.9946115727657E-8,300.082946777344,300.082946777344,9999.8203125,9999.8203125,47.5800728511397,18.9673900088134,21.2362861633301,0,0,0,40,300.602630615234,6,4,1,2.07443237304687,45.4545478820801,,,,,,,,,,,,,,,,
,3981313967.224,300.083236694336,9999.8115234375,0.00028690722933321,1.12729815746297E-6,1,0.999253354069792,40.0298881530762,1.99727507404027,15.0800002738833,0.00154092164784896,0.000278141783345866,0.25,-1.87374791872017E-6,0.000286860230887298,-7.5574596216014E-7,300.082946777344,300.082946777344,9999.802734375,9999.8203125,47.7262373842358,18.9695717144399,21.2349109649658,0,0,0,40,300.598266601562,6,4,1,2.09915161132813,45.4545478820801,,,,,,,,,,,,,,,,
,3981313968.072,300.083908081055,9999.77587890625,0.000287957797763438,1.38177895276908E-6,1,0.999253354069792,40.0298881530762,1.99726115659095,15.0800002738833,0.00154594150022219,0.000282426802722155,0.25,-1.27129962998451E-6,0.00028790824662001,-1.49322161653866E-7,300.083526611328,300.083526611328,9999.7490234375,9999.802734375,47.8606774895435,18.971229557316,21.2409496307373,0,0,0,40,300.591705322266,6,4,1,2.07550048828125,44.9657897949219,,,,,,,,,,,,,,,,
,3981313969.0785,300.085327148438,9999.77587890625,0.000285792475918311,1.19729544317691E-6,1,0.999253354069792,40.0298881530762,1.9972490922531,15.0800002738833,0.0015336243210899,0.00028395024909138,0.25,-5.81510126558258E-7,0.000285740632801603,5.31895528724327E-7,300.084289550781,300.084289550781,9999.7490234375,9999.802734375,47.5730381944666,18.971285248707,21.2433242797852,0,0,0,40,300.585540771484,6,4,1,2.07656860351562,45.9433059692383,,,,,,,,,,,,,,,,
,3981313970.0985,300.086486816406,9999.78466796875,0.000285716376110494,2.11760847293876E-6,1,0.999253354069792,40.0298881530762,1.99723964006469,15.0800002738833,0.00153305112225016,0.000284715574113847,0.25,-4.24335200975869E-7,0.000285663923085475,6.88739128797445E-7,300.086364746094,300.086364746094,9999.7666015625,9999.802734375,47.7113864423704,18.971085548865,21.2398300170898,0,0,0,40,300.549163818359,6,4,1,2.07427978515625,45.9433059692383,,,,,,,,,,,,,,,,
,3981313971.106,300.086929321289,9999.79345703125,0.000286370537405633,1.01312957036399E-6,1,0.999253354069792,40.0298881530762,1.99727781485922,15.0800002738833,0.00153816332936996,0.000276968681333163,0.25,-1.99198451977677E-6,0.000286324062584738,-8.76067006936083E-7,300.086608886719,300.086608886719,9999.7666015625,9999.8203125,47.1220385388704,18.9711574926552,21.2429370880127,0,0,0,40,300.473297119141,6,4,1,2.07412719726562,45.4545478820801,,,,,,,,,,,,,,,,
,3981313972.0935,300.087295532227,9999.79345703125,0.000286033745063147,1.26123327598634E-6,1,0.999253354069792,40.0298881530762,1.99725609930588,15.0800002738833,0.00153764079955133,0.000269683137773433,0.25,-3.28655201847254E-6,0.000285992373115942,-2.17170286996242E-6,300.087249755859,300.087249755859,9999.7666015625,9999.8203125,48.0005889944858,18.9697660524566,21.2481803894043,0,0,0,40,300.343231201172,6,4,1,2.0733642578125,44.9657897949219,,,,,,,,,,,,,,,,
,3981313973.0855,300.087051391602,9999.77587890625,0.000287389670768484,1.19428275623186E-6,1,0.999253354069792,40.0298881530762,1.9973039444886,15.0800002738833,0.00154207061621468,0.000286429392508823,0.25,-4.19839860555547E-7,0.000287336877461915,6.99749346747895E-7,300.087341308594,300.087341308594,9999.7666015625,9999.78515625,47.747341354255,18.9707081633262,21.2474918365479,0,0,0,40,300.266387939453,6,4,1,2.07077026367187,45.4545478820801,,,,,,,,,,,,,,,,
,3981313974.5895,300.085784912109,9999.76708984375,0.000285383164361826,1.45846520940897E-6,1,0.999253354069792,40.0298881530762,1.99730325857648,15.0800002738833,0.00153011428830805,0.000290781323779839,0.25,7.67172919612384E-7,0.000285326140245663,1.87872673342285E-6,300.086761474609,300.086761474609,9999.7490234375,9999.78515625,47.2807091282742,18.972302409467,21.2483997344971,0,0,0,40,300.104888916016,6,4,1,2.07656860351562,45.4545478820801,,,,,,,,,,,,,,,,
,3981313976.0715,300.084289550781,9999.7578125,0.000286801568734609,1.29834381301536E-6,1,0.999253354069792,40.0298881530762,1.99721469363852,15.0800002738833,0.00154022448662602,0.000278481760356991,0.25,-1.7890524563167E-6,0.000286754249352786,-6.7148273936226E-7,300.084808349609,300.084808349609,9999.7490234375,9999.7666015625,47.8489530617551,18.9681619190129,21.2457733154297,0,0,0,40,300.034851074219,6,4,1,2.07672119140625,46.9208221435547,,,,,,,,,,,,,,,,
,3981313977.046,300.081771850586,9999.73046875,0.000286628249451831,1.42762818675194E-6,1,0.999253354069792,40.0298881530762,1.99727876236431,15.0800002738833,0.00153974842478371,0.000276150776832769,0.25,-2.19277186478072E-6,0.000286582561865509,-1.07578989178357E-6,300.083770751953,300.083770751953,9999.6943359375,9999.7666015625,47.4002982917166,18.9703634419196,21.2494258880615,0,0,0,40,299.967834472656,6,4,1,2.076416015625,45.4545478820801,,,,,,,,,,,,,,,,
,3981313978.064,300.077896118164,9999.75732421875,0.000286098312917683,1.45984968199306E-6,1,0.999253354069792,40.0298881530762,1.99724567839792,15.0800002738833,0.0015347266622792,0.00028711992731469,0.25,-4.78400720033278E-8,0.000286044410253351,1.06668889693988E-6,300.079772949219,300.079772949219,9999.6943359375,9999.8203125,47.7137313279281,18.9679178831621,21.2502479553223,0,0,0,40,299.855010986328,6,4,1,2.07168579101562,44.9657897949219,,,,,,,,,,,,,,,,
,3981313979.1,300.07307434082,9999.775390625,0.00028632528725147,1.18567634662867E-6,1,0.999253354069792,40.0298881530762,1.99731332519246,15.0800002738833,0.00153776466181998,0.00027790692011533,0.25,-1.80958738641314E-6,0.000286278255007599,-6.93820046944525E-7,300.076019287109,300.076019287109,9999.73046875,9999.8203125,47.218960475255,18.9733422170223,21.2468662261963,0,0,0,40,299.770782470703,6,4,1,2.07809448242187,45.4545478820801,,,,,,,,,,,,,,,,
,3981313980.0795,300.06901550293,9999.73974609375,0.000287077910727152,1.5137293591188E-6,1,0.999253354069792,40.0298881530762,1.99731715555415,15.0800002738833,0.00154159685176382,0.000279775564247126,0.25,-1.60229751633303E-6,0.00028702997123196,-4.8361951887697E-7,300.070129394531,300.070129394531,9999.73046875,9999.7490234375,47.3995166631973,18.9702958330622,21.2480411529541,0,0,0,40,299.708770751953,6,4,1,2.07305908203125,45.9433059692383,,,,,,,,,,,,,,,,
,3981313981.0745,300.062850952148,9999.77587890625,0.000287692708758622,1.59140066045899E-6,1,0.999253354069792,40.0298881530762,1.99735988374029,15.0800002738833,0.00154407826959735,0.000284933122078668,0.25,-7.57114883527827E-7,0.000287641425143744,3.63826025364937E-7,300.067901611328,300.067901611328,9999.7490234375,9999.802734375,47.5011283706973,18.9702849211191,21.2490196228027,0,0,0,40,299.648742675781,6,4,1,2.09930419921875,45.4545478820801,,,,,,,,,,,,,,,,
,3981313982.067,300.052978515625,9999.802734375,0.000286131109495953,1.16448432003088E-6,1,0.999253354069792,40.0298881530762,1.99737012327735,15.0800002738833,0.00153681380122505,0.000277467743255561,0.25,-1.85665169587319E-6,0.000286084506774071,-7.41544052075198E-7,300.057800292969,300.057800292969,9999.802734375,9999.802734375,47.5386465396204,18.9708764152314,21.2495594024658,0,0,0,40,299.596069335937,6,4,1,2.07565307617187,45.4545478820801,,,,,,,,,,,,,,,,
,3981313983.06,300.043975830078,9999.77587890625,0.000286822457674686,1.27995829566364E-6,1,0.999253354069792,40.0298881530762,1.99730059726001,15.0800002738833,0.00153844567462264,0.000288968410285865,0.25,1.59503191681531E-7,0.000286767963791612,1.27696509148745E-6,300.048156738281,300.048156738281,9999.7490234375,9999.802734375,47.8817814595628,18.9736160118409,21.2512969970703,0,0,0,40,299.53369140625,6,4,1,2.073974609375,45.9433059692383,,,,,,,,,,,,,,,,
,3981313984.0725,300.033309936523,9999.77587890625,0.000286875415926825,1.50433053724186E-6,1,0.999253354069792,40.0298881530762,1.99730385420849,15.0800002738833,0.00153955255029026,0.000284644447254081,0.25,-6.56625973933102E-7,0.000286824203107638,4.61242780378322E-7,300.039794921875,300.039794921875,9999.7490234375,9999.802734375,47.9857380526205,18.9725098882136,21.250431060791,0,0,0,40,299.440826416016,6,4,1,2.09579467773438,46.4320640563965,,,,,,,,,,,,,,,,
,3981313985.0705,300.023544311523,9999.78466796875,0.000287631623658195,1.44670256305298E-6,1,0.999253354069792,40.0298881530762,1.99727384987385,15.0800002738833,0.00154494636300686,0.000278141218459106,0.25,-2.00984595542573E-6,0.000287585643977749,-8.88734279181948E-7,300.026824951172,300.026824951172,9999.7666015625,9999.802734375,47.5292669973896,18.9694590286339,21.2514019012451,0,0,0,40,299.367797851562,6,4,1,2.07473754882813,44.9657897949219,,,,,,,,,,,,,,,,
,3981313986.0855,300.012939453125,9999.73046875,0.000285177103963593,1.86655799256357E-6,1,0.999253354069792,40.0298881530762,1.99724043774651,15.0800002738833,0.00153075993551118,0.000280987390555469,0.25,-1.01885591127569E-6,0.000285127832210549,9.2553069346141E-8,300.020263671875,300.020263671875,9999.6943359375,9999.7666015625,47.1329813381396,18.9680906973243,21.2532749176025,0,0,0,40,299.322692871094,6,4,1,2.07443237304687,45.9433059692383,,,,,,,,,,,,,,,,
,3981313987.081,299.997360229492,9999.6943359375,0.000285612921711669,1.68826217236047E-6,1,0.999253354069792,40.0298881530762,1.99729807019045,15.0800002738833,0.00153484082795003,0.000272358804350037,0.25,-2.7105478460333E-6,0.000285570322752259,-1.59705727942062E-6,300.005615234375,300.005615234375,9999.6943359375,9999.6943359375,47.5503709674089,18.9678298225708,21.2545528411865,0,0,0,40,299.260559082031,6,4,1,2.071533203125,45.4545478820801,,,,,,,,,,,,,,,,
,3981313988.0495,299.983840942383,9999.73046875,0.000287176959324151,1.19567461540949E-6,1,0.999253354069792,40.0298881530762,1.99729164230148,15.0800002738833,0.00154157709447493,0.000282738797530245,0.25,-1.06833728912526E-6,0.000287127811114826,5.10021553596674E-8,299.989105224609,299.989105224609,9999.6943359375,9999.7666015625,47.1407976233319,18.9705546517807,21.2511615753174,0,0,0,40,299.207946777344,6,4,1,2.07550048828125,45.4545478820801,,,,,,,,,,,,,,,,
,3981313989.054,299.970077514648,9999.7578125,0.000286395561238974,1.51847837445464E-6,1,0.999253354069792,40.0298881530762,1.99724876508382,15.0800002738833,0.0015359043981246,0.000289690153911276,0.25,3.7487824788968E-7,0.000286341076954905,1.49096602324945E-6,299.978576660156,299.978576660156,9999.7490234375,9999.7666015625,47.6035217067166,18.9688909342149,21.2552070617676,0,0,0,40,299.154754638672,6,4,1,2.100830078125,45.4545478820801,,,,,,,,,,,,,,,,
,3981313990.0905,299.951843261719,9999.73974609375,0.00028623416297172,1.26669181831078E-6,1,0.999253354069792,40.0298881530762,1.99731479773261,15.0800002738833,0.00153660371981796,0.000281448307155071,0.25,-1.1331555652687E-6,0.000286185775721355,-1.7337296695825E-8,299.961578369141,299.961578369141,9999.73046875,9999.7490234375,47.4682999728896,18.9687840618558,21.2564868927002,0,0,0,40,299.070922851562,6,4,1,2.07839965820313,45.9433059692383,,,,,,,,,,,,,,,,
