[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981406736.00577,02/28/2026,2:20 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 35 mm touchdown = 9.53000038862228 mm,3981406874.5785,5.00137042999268,0.287031054496765,-1.42950348308871E-6,3.65774579256285E-7,1,0.999253354069792,40.0298881530762,1.99610409519215,15.429999679327,-6.2275612586851E-6,-5.76011222618589E-6,0.25,-8.68133543520453E-7,-1.31314957831523E-6,-8.32837960476331E-7,5.00137042999268,5.00137042999268,0.287031054496765,0.287031054496765,47.2689847004858,18.9524440439485,3.49666905403137,0,0,0,40,4.99930620193481,1,4,1,2.073974609375,36.1681327819824,,,,,,,,,,,,,,,,
,3981406883.019,4.99817442893982,10.7753442376852,-1.46150892314791E-6,4.26208108342101E-7,1,0.999253354069792,40.0298881530762,1.99614896434346,15.429999679327,-6.76348912247446E-6,-3.94047795149202E-6,0.25,-4.95510289404242E-7,-1.34963625258091E-6,-4.8703416941653E-7,4.99809074401855,4.99809074401855,0.304970473051071,21.2457180023193,47.4206206332166,18.9574159113705,3.49970030784607,0,0,0,40,4.99665784835815,1,6,1,2.100830078125,37.1456527709961,,,,,,,,,,,,,,,,
,3981406884.021,4.99845218658447,67.2007665634155,-8.33892708779654E-8,4.19256979852996E-7,1,0.999253354069792,40.0298881530762,1.99599567303289,15.429999679327,-2.75258285257594E-7,-7.68653114921507E-7,0.25,-1.37692551008329E-7,-7.50277036910999E-8,-1.29504859162878E-7,4.99825811386108,4.99825811386108,21.2457180023193,113.155815124512,47.6003951926396,18.9550125224285,3.50004124641418,0,0,0,40,4.99650716781616,1,6,1,2.07077026367187,37.6344108581543,,,,,,,,,,,,,,,,
,3981406885.0055,4.99900150299072,161.601581573486,3.49968956590261E-6,4.52164638287561E-7,1,0.999253354069792,40.0298881530762,1.9962544674147,15.429999679327,1.79687060533253E-5,7.24482224539336E-7,0.25,-5.66153461322624E-7,3.26353218126994E-6,-4.62958521105306E-7,4.99864625930786,4.99864625930786,113.155815124512,210.047348022461,47.6871559582743,18.9581954841754,3.50064086914063,0,0,0,40,4.99911880493164,1,6,1,2.07473754882813,37.1456527709961,,,,,,,,,,,,,,,,
,3981406886.0075,5.00027513504028,259.289939880371,1.00763166985149E-5,4.86690924306151E-7,1,0.999253354069792,40.0298881530762,1.99610422314988,15.429999679327,5.10892222293273E-5,5.24744921268688E-6,0.25,-9.9417658687484E-7,9.38496756919885E-6,-7.41661135178147E-7,4.99935674667358,4.99935674667358,210.047348022461,308.532531738281,46.9250681520242,18.9551200436295,3.50088047981262,0,0,0,40,5.00015830993652,1,6,1,2.07870483398438,37.1456527709961,,,,,,,,,,,,,,,,
,3981406887.074,5.00196504592895,363.165161132812,1.66846393473937E-5,5.74653616916651E-7,1,0.999253354069792,40.0298881530762,1.99634747754822,15.429999679327,8.43397334884785E-5,9.99896395221401E-6,0.25,-1.38323241614843E-6,1.55353137861254E-5,-9.83299851074811E-7,5.00119352340698,5.00119352340698,308.532531738281,417.797790527344,47.3244803253512,18.9624064733447,3.50138711929321,0,0,0,40,5.00121307373047,1,6,1,2.07763671875,38.1231689453125,,,,,,,,,,,,,,,,
,3981406888.0735,5.0028977394104,462.57633972168,2.29032900091064E-5,5.28663672739613E-7,1,0.999253354069792,40.0298881530762,1.99618352102731,15.429999679327,0.000114830541257816,1.83262953627135E-5,0.25,-9.73573309097719E-7,2.13090616748301E-5,-4.89246678238659E-7,5.00273656845093,5.00273656845093,417.797790527344,507.354888916016,47.5042548847743,18.9627462812887,3.50152063369751,0,0,0,40,5.00107288360596,1,6,1,2.07916259765625,37.6344108581543,,,,,,,,,,,,,,,,
,3981406888.99,5.00296449661255,557.171737670898,3.02550776082249E-5,4.51668930967513E-7,1,0.999253354069792,40.0298881530762,1.99613750205928,15.429999679327,0.000151693521910408,2.41850865399903E-5,0.25,-1.29147639126704E-6,2.8149538402059E-5,-6.5070601675331E-7,5.00305891036987,5.00305891036987,507.354888916016,606.988586425781,47.3987350346781,18.9596599046394,3.50180983543396,0,0,0,40,5.00019788742065,1,6,1,2.07565307617187,37.6344108581543,,,,,,,,,,,,,,,,
,3981406889.986,5.00247955322266,656.83935546875,3.65732150874916E-5,5.02440971383723E-7,1,0.999253354069792,40.0298881530762,1.9961686538846,15.429999679327,0.000183204254003526,3.00838247659606E-5,0.25,-1.39156467094611E-6,3.40253232214779E-5,-6.28126691593859E-7,5.00287008285522,5.00287008285522,606.988586425781,706.690124511719,47.3018130982935,18.9574497121455,3.50233459472656,0,0,0,40,4.99894142150879,1,6,1,2.0806884765625,38.1231689453125,,,,,,,,,,,,,,,,
,3981406890.9925,5.00179958343506,756.611572265625,4.33670829175216E-5,4.49009609788394E-7,1,0.999253354069792,40.0298881530762,1.99626790060201,15.429999679327,0.00021638523813447,3.99218964883302E-5,0.25,-7.96669365063617E-7,4.03308678105547E-5,4.95200040399597E-8,5.00208902359009,5.00208902359009,706.690124511719,806.533020019531,47.5183241981204,18.9602445398956,3.50214743614197,0,0,0,40,4.99789142608643,1,6,1,2.0794677734375,39.1006851196289,,,,,,,,,,,,,,,,
