[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981331652.78092,02/27/2026,5:29 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3981331787.0425,300.077285766602,39999.935546875,0.0011466122941826,3.62805333599232E-6,1,0.999253354069792,40.0298881530762,1.99721299401303,15.1000004261732,0.00614855544255119,0.00116225559158079,0.25,1.98132555780362E-6,0.00114638947418917,6.4307471315918E-6,300.077880859375,300.077880859375,39999.92578125,39999.9453125,47.716857842005,18.9519263515915,21.2243766784668,0,0,0,40,300.607604980469,1,4,1,2.07077026367187,45.9433059692383,,,,,,,,,,,,,,,,
,3981331790.817,300.080352783203,39999.96484375,0.00114342519020885,2.75729236645824E-6,1,0.999253354069792,40.0298881530762,1.99722841142964,15.1000004261732,0.00613170241977536,0.00115800764880573,0.25,1.78461646481971E-6,0.00114320360418663,6.2216521990466E-6,300.080352783203,300.080352783203,39999.96484375,39999.96484375,47.8395735195243,18.9550884247097,21.2310276031494,0,0,0,40,300.600463867188,6,4,1,2.06985473632813,45.9433059692383,,,,,,,,,,,,,,,,
,3981331791.189,300.080993652344,39999.9453125,0.00114375053317856,2.90054761849634E-6,1,0.999253354069792,40.0298881530762,1.99721781137028,15.1000004261732,0.0061360146973635,0.00114444855418537,0.25,-8.02912954442356E-7,0.00114353890103169,3.63585988231761E-6,300.080352783203,300.080352783203,39999.92578125,39999.96484375,47.6777764160435,18.9529184588883,21.2281036376953,0,0,0,40,300.598083496094,6,4,1,2.07244873046875,46.4320640563965,,,,,,,,,,,,,,,,
,3981331792.0495,300.081512451172,39999.92578125,0.00114428209195088,2.72237612173579E-6,1,0.999253354069792,40.0298881530762,1.99719654880924,15.1000004261732,0.00613777649204866,0.00115044980961777,0.25,2.1856815037821E-7,0.00114406637429652,4.6592029223387E-6,300.081634521484,300.081634521484,39999.92578125,39999.92578125,47.3096293834858,18.9550064171396,21.2308139801025,0,0,0,40,300.595092773438,6,4,1,2.073974609375,46.4320640563965,,,,,,,,,,,,,,,,
,3981331793.0305,300.082046508789,39999.935546875,0.00114696979526438,2.64960065827075E-6,1,0.999253354069792,40.0298881530762,1.99722011293134,15.1000004261732,0.00615039263811926,0.00116315635740402,0.25,2.08168175309385E-6,0.00114674632038972,6.5323875163065E-6,300.081390380859,300.081390380859,39999.92578125,39999.9453125,47.6738682734474,18.9554901985438,21.2326889038086,0,0,0,40,300.574829101562,6,4,1,2.07473754882813,44.4770278930664,,,,,,,,,,,,,,,,
,3981331794.0245,300.083419799805,39999.955078125,0.00114253838213447,2.70146217621638E-6,1,0.999253354069792,40.0298881530762,1.99719059012995,15.1000004261732,0.00612777920710833,0.00115203695615281,0.25,8.41616235554098E-7,0.00114232049482134,5.27533350034273E-6,300.082702636719,300.082702636719,39999.9453125,39999.96484375,47.5480260818512,18.9593302306811,21.2329368591309,0,0,0,40,300.529724121094,6,4,1,2.07427978515625,45.9433059692383,,,,,,,,,,,,,,,,
,3981331795.0225,300.084838867188,39999.974609375,0.00114333584758904,3.83170163910181E-6,1,0.999253354069792,40.0298881530762,1.99718848116313,15.1000004261732,0.0061307393990716,0.00115983751198601,0.25,2.14678750672846E-6,0.00114311268653563,6.58332925674444E-6,300.084136962891,300.084136962891,39999.96484375,39999.984375,47.4284369184089,18.9548273646185,21.2295837402344,0,0,0,40,300.411743164063,6,4,1,2.09625244140625,45.9433059692383,,,,,,,,,,,,,,,,
,3981331796.0325,300.086242675781,39999.9921875,0.00114092820729593,3.94736393292314E-6,1,0.999253354069792,40.0298881530762,1.99718410988409,15.1000004261732,0.00611741695110822,0.00115952353092176,0.25,2.53955426466949E-6,0.00114070391625562,6.96665409819419E-6,300.085540771484,300.085540771484,39999.984375,40000,47.1392343662934,18.9559046099389,21.2292041778564,0,0,0,40,300.336486816406,6,4,1,2.07244873046875,46.4320640563965,,,,,,,,,,,,,,,,
,3981331797.0395,300.086502075195,39999.982421875,0.00114577454901727,3.52395237802704E-6,1,0.999253354069792,40.0298881530762,1.99715132939693,15.1000004261732,0.00614282910017137,0.00116696652171606,0.25,3.02317813262313E-6,0.00114554745953183,7.46898957525424E-6,300.086944580078,300.086944580078,39999.96484375,40000,47.4354715750819,18.9579778074767,21.2310047149658,0,0,0,40,300.242004394531,6,4,1,2.07504272460938,45.9433059692383,,,,,,,,,,,,,,,,
,3981331798.0145,300.086120605469,39999.982421875,0.00114574331594805,3.44414580719197E-6,1,0.999253354069792,40.0298881530762,1.99712243332968,15.1000004261732,0.00614412436642407,0.00115864559172592,0.25,1.48078106246327E-6,0.00114552223375552,5.92676795073188E-6,300.086059570313,300.086059570313,39999.96484375,40000,47.6003951926396,18.9557222347643,21.2274398803711,0,0,0,40,300.169372558594,6,4,1,2.07611083984375,46.4320640563965,,,,,,,,,,,,,,,,
