[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981459406.03457,02/28/2026,4:58 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 35 mm touchdown = 9.47999954223633 mm,3981459543.4825,25.0010032653809,0.645819842815399,-5.20653114788312E-6,4.14863608426761E-7,1,0.999253354069792,40.0298881530762,1.97393549956409,15.37000015378,-2.47877729486826E-5,-9.29875465326283E-6,0.25,-8.1924238501348E-7,-4.82868331158385E-6,-8.67072880756267E-7,25.0010032653809,25.0010032653809,0.645819842815399,0.645819842815399,48.0623376475051,18.9449712478195,9.25862693786621,0,0,0,40,24.9874172210693,1,4,1,2.0654296875,36.1681327819824,,,,,,,,,,,,,,,,
,3981459551.3895,25.0010662078857,7.2839889228344,-5.53558744246976E-6,4.27479012012363E-7,1,0.999253354069792,40.0298881530762,1.97390237221861,15.37000015378,-2.65992724559792E-5,-8.69337176212147E-6,0.25,-6.28555562271081E-7,-5.13873608880031E-6,-6.96240947698381E-7,25.0010967254639,25.0010967254639,0.681698739528656,13.8862791061401,47.6597989601012,18.9547439812387,9.26152801513672,0,0,0,40,24.9867553710938,1,6,1,2.06802368164062,37.1456527709961,,,,,,,,,,,,,,,,
,3981459552.401,25.0009679794312,63.773202419281,-2.59151008468E-6,4.84152412785398E-7,1,0.999253354069792,40.0298881530762,1.97397289568837,15.37000015378,-1.31662155354274E-5,-6.02175431252682E-7,0.25,4.10568164752185E-7,-2.41990736193482E-6,3.2994516715471E-7,25.0010356903076,25.0010356903076,13.8862791061401,113.660125732422,47.4073329483896,18.9479094426097,9.26153755187988,0,0,0,40,24.9859714508057,1,6,1,2.0672607421875,36.6568908691406,,,,,,,,,,,,,,,,
,3981459553.4195,25.0008640289307,157.20076751709,1.37571688304901E-5,1.02451770006466E-6,1,0.999253354069792,40.0298881530762,1.97408953716394,15.37000015378,6.82148500133351E-5,1.13822401295092E-5,0.25,-5.16216072814762E-7,1.28128617252766E-5,-2.03480901327799E-7,25.0009002685547,25.0009002685547,113.660125732422,200.741409301758,47.9732319963128,18.9501090439726,9.26220989227295,0,0,0,40,24.9862861633301,1,6,1,2.06527709960938,37.1456527709961,,,,,,,,,,,,,,,,
,3981459554.4045,25.0007801055908,250.01619720459,3.78908073174174E-5,1.30403224154577E-6,1,0.999253354069792,40.0298881530762,1.97395742782871,15.37000015378,0.000186718130656223,3.69532114808293E-5,0.25,-2.8317919749438E-7,3.526735370304E-5,4.99739788058166E-7,25.0008277893066,25.0008277893066,200.741409301758,299.290985107422,48.0263827356205,18.9492763375995,9.26182556152344,0,0,0,40,24.9869384765625,1,6,1,2.0660400390625,37.6344108581543,,,,,,,,,,,,,,,,
,3981459555.406,25.0007476806641,353.861541748047,6.47973971328865E-5,1.28953529163E-6,1,0.999253354069792,40.0298881530762,1.97397573721857,15.37000015378,0.000319436173343966,6.26060314691011E-5,0.25,-6.05318836474122E-7,6.03141354541484E-5,7.43161141393522E-7,25.000732421875,25.000732421875,299.290985107422,408.432098388672,47.3948268920819,18.9517297539344,9.26157474517822,0,0,0,40,24.9866237640381,1,6,1,2.06130981445313,37.6344108581543,,,,,,,,,,,,,,,,
,3981459556.4065,25.0006885528564,453.218948364258,9.25773858852998E-5,1.36146671257336E-6,1,0.999253354069792,40.0298881530762,1.97399450755391,15.37000015378,0.000456200449342274,9.03931846849638E-5,0.25,-6.74685006526331E-7,8.61692202986065E-5,1.24046926427412E-6,25.0007629394531,25.0007629394531,408.432098388672,498.005798339844,47.6472929037935,18.95111098271,9.2635326385498,0,0,0,40,24.9866733551025,1,6,1,2.06451416015625,36.1681327819824,,,,,,,,,,,,,,,,
,3981459557.3855,25.0006046295166,547.82861328125,0.000121103338723557,1.39377025984622E-6,1,0.999253354069792,40.0298881530762,1.97396277106137,15.37000015378,0.000595643718123882,0.000123708537176741,0.25,2.25264636399903E-7,0.000112699537844197,2.65596851445228E-6,25.0006141662598,25.0006141662598,498.005798339844,597.651428222656,48.3890583685436,18.9531906725509,9.26325798034668,0,0,0,40,24.9865665435791,1,6,1,2.06405639648438,37.1456527709961,,,,,,,,,,,,,,,,
,3981459558.38,25.0004844665527,647.554016113281,0.000148210372832835,1.40233436446067E-6,1,0.999253354069792,40.0298881530762,1.97398626403652,15.37000015378,0.000729071319263713,0.000150991580123105,0.25,1.8897010570621E-7,0.000137928976246503,3.17280352079743E-6,25.0005950927734,25.0005950927734,597.651428222656,697.456604003906,48.2882282895628,18.9536955074256,9.26330947875977,0,0,0,40,24.9865665435791,1,6,1,2.06466674804687,37.6344108581543,,,,,,,,,,,,,,,,
,3981459559.3925,25.0004062652588,752.336029052734,0.000177610413093736,1.34818951839778E-6,1,0.999253354069792,40.0298881530762,1.97389491329549,15.37000015378,0.000872852710774951,0.000184898635811883,0.25,1.02728466566411E-6,0.000165275540470927,4.55144405416599E-6,25.000373840332,25.000373840332,697.456604003906,807.215454101562,48.2710324621397,18.950096918792,9.26331043243408,0,0,0,40,24.9875736236572,1,6,1,2.07107543945313,38.1231689453125,,,,,,,,,,,,,,,,
,3981459560.4115,25.0003833770752,852.082702636719,0.000206430379228825,1.36994934755725E-6,1,0.999253354069792,40.0298881530762,1.97392024438976,15.37000015378,0.0010148361224183,0.000213335306530333,0.25,8.69816186425283E-7,0.000192103071282475,4.99280611930401E-6,25.0004386901855,25.0004386901855,807.215454101562,896.949951171875,48.0412336774859,18.9531225040803,9.26363468170166,0,0,0,40,24.9865245819092,1,6,1,2.06756591796875,33.7243423461914,,,,,,,,,,,,,,,,
,3981459561.3805,25.0003318786621,946.882720947266,0.000235264249886597,1.40431604082245E-6,1,0.999253354069792,40.0298881530762,1.97398764262397,15.37000015378,0.00115685762102862,0.000242090546962537,0.25,7.71747496226008E-7,0.000218942975479115,5.49083763046519E-6,25.0003280639648,25.0003280639648,896.949951171875,996.815490722656,48.197559381332,18.9527360581661,9.26362991333008,0,0,0,40,24.9868068695068,1,6,1,2.06588745117187,38.1231689453125,,,,,,,,,,,,,,,,
,3981459562.3515,25.0003318786621,1046.79318237305,0.000264677953797839,1.30609909495613E-6,1,0.999253354069792,40.0298881530762,1.97395554214275,15.37000015378,0.00130100769609995,0.000274703763496817,0.25,1.33870979778383E-6,0.000246309967748352,6.62123905430478E-6,25.0003356933594,25.0003356933594,996.815490722656,1096.77087402344,48.1014190734666,18.9504914362309,9.26439571380615,0,0,0,40,24.9869709014893,1,6,1,2.06344604492187,38.6119270324707,,,,,,,,,,,,,,,,
,3981459563.3945,25.0003414154053,1151.58441162109,0.000293904793635626,1.30990088840515E-6,1,0.999253354069792,40.0298881530762,1.97404539873063,15.37000015378,0.00144430347272152,0.000307255725709842,0.25,1.92599462280398E-6,0.000273503628002451,7.76857546772936E-6,25.0003280639648,25.0003280639648,1096.77087402344,1206.39794921875,47.8262858346974,18.9497660450617,9.26467895507812,0,0,0,40,24.9868068695068,1,6,1,2.07229614257813,38.1231689453125,,,,,,,,,,,,,,,,
,3981459564.4145,25.000262260437,1256.30358886719,0.000322260847196007,1.39934394296919E-6,1,0.999253354069792,40.0298881530762,1.97407863545034,15.37000015378,0.00158373400490631,0.000336750054643596,0.25,2.07073398659704E-6,0.000299896681839146,8.48785361811543E-6,25.0003547668457,25.0003547668457,1206.39794921875,1306.20922851562,48.248365235082,18.9475252654611,9.26504230499268,0,0,0,40,24.9866237640381,1,6,1,2.0733642578125,38.1231689453125,,,,,,,,,,,,,,,,
,3981459565.3755,25.0001564025879,1351.12982177734,0.000351796830838245,1.30291029367465E-6,1,0.999253354069792,40.0298881530762,1.97394859183449,15.37000015378,0.00172921639746682,0.000365578401763248,0.25,1.84208124332564E-6,0.000327395962635414,8.88434713135545E-6,25.0001697540283,25.0001697540283,1306.20922851562,1396.05041503906,47.6926273579089,18.9516619050248,9.26501178741455,0,0,0,40,24.9867649078369,1,6,1,2.07015991210938,38.6119270324707,,,,,,,,,,,,,,,,
,3981459566.3555,25.0001068115234,1445.96630859375,0.0003807301162132,1.54914014916653E-6,1,0.999253354069792,40.0298881530762,1.97400189875184,15.37000015378,0.00187053459471646,0.000400401473878438,0.25,2.94755305559846E-6,0.000354307910531531,1.05117585831709E-5,25.0001430511475,25.0001430511475,1396.05041503906,1495.88220214844,47.6113379919089,18.9517250932593,9.26509952545166,0,0,0,40,24.9865245819092,1,6,1,2.0648193359375,38.6119270324707,,,,,,,,,,,,,,,,
,3981459567.35,25.000072479248,1545.79302978516,0.000410249611060794,1.42000544294053E-6,1,0.999253354069792,40.0298881530762,1.97406286946919,15.37000015378,0.00201561314505721,0.00043167466225292,0.25,3.20782809889625E-6,0.000381783823998653,1.13664561421979E-5,25.0000705718994,25.0000705718994,1495.88220214844,1595.70385742187,48.065464161582,18.9494529296173,9.26644992828369,0,0,0,40,24.986499786377,1,6,1,2.064208984375,38.1231689453125,,,,,,,,,,,,,,,,
,3981459568.3645,25.0000858306885,1645.64599609375,0.000439352176733094,1.38605929754719E-6,1,0.999253354069792,40.0298881530762,1.97399726205891,15.37000015378,0.00215919853982946,0.00045920070970227,0.25,2.79610751465625E-6,0.000408886319073589,1.15887493166308E-5,25.0000743865967,25.0000743865967,1595.70385742187,1695.58813476562,47.9146098573705,18.948989121422,9.265793800354,0,0,0,40,24.9864253997803,1,6,1,2.06436157226562,38.6119270324707,,,,,,,,,,,,,,,,
,3981459569.3685,25.0002355575562,1745.48498535156,0.000468496093409553,1.35842748698806E-6,1,0.999253354069792,40.0298881530762,1.97411709449484,15.37000015378,0.00230209779842605,0.000492131372460111,0.25,3.46347866700556E-6,0.000436006160724458,1.28179160117341E-5,25.0000972747803,25.0000972747803,1695.58813476562,1795.3818359375,48.2522733776782,18.9521719870733,9.26608753204346,0,0,0,40,24.9867897033691,1,6,1,2.06649780273438,38.6119270324707,,,,,,,,,,,,,,,,
,3981459570.3725,25.0002584457397,1845.30731201172,0.000497383811340581,1.41702279129675E-6,1,0.999253354069792,40.0298881530762,1.97394197734231,15.37000015378,0.00244429608912219,0.000520395905169008,0.25,3.24824502541726E-6,0.000462906506506908,1.32218839487314E-5,25.000373840332,25.000373840332,1795.3818359375,1895.23278808594,47.7739167239089,18.9500266407925,9.26649379730225,0,0,0,40,24.9868679046631,1,6,1,2.06466674804687,38.6119270324707,,,,,,,,,,,,,,,,
