[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3981079733.76079,02/24/2026,7:30 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1346,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM901,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,897,PREAMP_SERIAL_NUMBER
INFO,LB808,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CCSO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.05,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 35.5 mm touchdown = 9.34999994933605 mm,3981079874.3405,19.0005264282227,0.556122660636902,-6.37171713645183E-6,5.0841950985744E-7,1,0.999253354069792,40.0298881530762,1.99606779658299,14.750000089407,-3.03337180916222E-5,-1.30111735922726E-5,0.25,-1.32072693854286E-6,-5.89924838121368E-6,-1.34388153643884E-6,19.0005264282227,19.0005264282227,0.556122660636902,0.556122660636902,47.0509103436204,18.9375094042257,7.83873891830444,0,0,0,40,18.9884586334229,1,4,1,2.07351684570313,34.7018585205078,,,,,,,,,,,,,,,,
,3981079882.005,19.0002641677856,15.3872682154179,-7.19359307661034E-6,5.93451021498319E-7,1,0.999253354069792,40.0298881530762,1.99628120825965,14.750000089407,-3.51733021485557E-5,-1.01550806405709E-5,0.25,-5.78584640939119E-7,-6.67681205355503E-6,-6.68951978500083E-7,19.0002498626709,19.0002498626709,0.627880394458771,30.146656036377,47.6832478156781,18.9424777870108,7.83930063247681,0,0,0,40,18.9883136749268,1,6,1,2.07168579101562,36.1681327819824,,,,,,,,,,,,,,,,
,3981079883.016,19.0002927780151,71.761869430542,-7.19376592203622E-6,5.93465215602586E-7,1,0.999253354069792,40.0298881530762,1.99621885007784,14.750000089407,-3.51729307732155E-5,-1.01563668539829E-5,0.25,-5.78807348048212E-7,-6.67699024616921E-6,-6.69216448257974E-7,19.0002784729004,19.0002784729004,30.146656036377,113.377082824707,47.4073329483896,18.9403825902395,7.84003734588623,0,0,0,40,18.9881629943848,1,6,1,2.07183837890625,35.6793746948242,,,,,,,,,,,,,,,,
,3981079883.9785,19.0002927780151,161.757740020752,1.720543382484E-5,1.13769272357817E-6,1,0.999253354069792,40.0298881530762,1.99624409348837,14.750000089407,8.64113281400006E-5,1.306205612479E-5,0.25,-8.74991384599027E-7,1.60107740993537E-5,-4.99531136380901E-7,19.0003070831299,19.0003070831299,113.377082824707,210.138397216797,47.6472929037935,18.9419878702136,7.84052658081055,0,0,0,40,18.988245010376,1,6,1,2.0709228515625,36.1681327819824,,,,,,,,,,,,,,,,
,3981079884.9775,19.0001945495605,259.483627319336,4.4292024205901E-5,1.40677785522714E-6,1,0.999253354069792,40.0298881530762,1.99630109178099,14.750000089407,0.000220946028967653,4.10510980697869E-5,0.25,-7.59843829273604E-7,4.11897691642205E-5,1.02442447661896E-7,19.0002784729004,19.0002784729004,210.138397216797,308.828857421875,47.2932151845819,18.9397136548406,7.83979034423828,0,0,0,40,18.9885768890381,1,6,1,2.07794189453125,36.1681327819824,,,,,,,,,,,,,,,,
,3981079886.015,19.0002174377441,358.470703125,7.48088179344555E-5,1.45114412287909E-6,1,0.999253354069792,40.0298881530762,1.99626556662351,14.750000089407,0.000372926677321245,7.0546182682683E-5,0.25,-1.04113247101837E-6,6.95654401677925E-5,3.99634703833053E-7,19.0001106262207,19.0001106262207,308.828857421875,408.112548828125,47.2111441900627,18.9406531664288,7.84029865264893,0,0,0,40,18.989236831665,1,6,1,2.07611083984375,36.1681327819824,,,,,,,,,,,,,,,,
,3981079887.0225,19.0004262924194,457.814788818359,0.000105442430944527,1.49259606810854E-6,1,0.999253354069792,40.0298881530762,1.99631587034542,14.750000089407,0.000523798284908171,0.000108560664747772,0.25,3.65414946254606E-7,9.80194770800058E-5,2.26936951571249E-6,19.0003242492676,19.0003242492676,408.112548828125,507.517028808594,47.6003951926396,18.9422882833523,7.84103536605835,0,0,0,40,18.9888286590576,1,6,1,2.07778930664062,36.6568908691406,,,,,,,,,,,,,,,,
,3981079888.0655,19.0006732940674,562.387176513672,0.000137531942576267,1.51217026897878E-6,1,0.999253354069792,40.0298881530762,1.99614430509381,14.750000089407,0.000683462540134468,0.000140094943231674,0.25,1.72776516583562E-7,0.000127857023739245,2.68060245262707E-6,19.0005283355713,19.0005283355713,507.517028808594,617.25732421875,47.7520311253704,18.9377525447937,7.84076166152954,0,0,0,40,18.9884586334229,1,6,1,2.07412719726562,36.1681327819824,,,,,,,,,,,,,,,,
,3981079889.0425,19.0007123947144,662.193634033203,0.0001690490292539,1.38562933841401E-6,1,0.999253354069792,40.0298881530762,1.99614430509381,14.750000089407,0.000840207787383123,0.000171654631775127,0.25,9.83958290039189E-8,0.000157160924294712,3.19265869006519E-6,19.0008182525635,19.0008182525635,617.25732421875,707.129943847656,47.1392343662934,18.9377525447937,7.84029483795166,0,0,0,40,18.9879875183105,1,6,1,2.07794189453125,36.1681327819824,,,,,,,,,,,,,,,,
,3981079889.982,19.0006055831909,757.043792724609,0.000201150860585107,1.46095797666354E-6,1,0.999253354069792,40.0298881530762,1.99629160035983,14.750000089407,0.000999809733490825,0.000204436631048495,0.25,1.46322819563776E-7,0.000187006861858849,3.83045104187514E-6,19.0006065368652,19.0006065368652,707.129943847656,806.957641601562,47.3541822090819,18.9453597477806,7.84054803848267,0,0,0,40,18.9885902404785,1,6,1,2.073974609375,36.6568908691406,,,,,,,,,,,,,,,,
